source_id,name,tier,publisher_type,base_url,access_method,rate_limit_seconds,robots_required,enabled,notes,sitemap_url,rss_url,api_url,allowed_paths,blocked_paths,language,country,domain_tags,known_bias_or_limitation
epa-methane-emissions-final-rule,EPA Methane Emissions Final Rule,tier_2,government_regulator,https://www.epa.gov/system/files/documents/2023-12/epas-final-rule-for-oil-and-gas-operations.-overview-fact-sheet.pdf,public_pdf,2,true,true,December 2023 final rule - 80% methane reduction target Source cadence: quarterly; source priority: 1; original doc type: PDF.,,,,,,en,United States,state-derived_data|regulatory|methane|emissions|air_quality|US_federal|super_emitters|flaring|VOC,
epa-subpart-oooob-standards,EPA Subpart OOOOb Standards,tier_2,government_regulator,https://www.epa.gov/system/files/documents/2022-11/8510_OilandGasClimate_OOOObRegText_Supplemental_20221005.pdf,public_pdf,2,true,true,Standards for facilities with construction after Nov 15 2021 Source cadence: annual; source priority: 1; original doc type: PDF.,,,,,,en,United States,state-derived_data|regulatory|methane|GHG|compliance|US_federal|facility_standards|monitoring,
epa-small-entity-compliance-guide,EPA Small Entity Compliance Guide,tier_2,government_regulator,https://www.epa.gov/sites/default/files/2016-08/documents/2016-compliance-guide-oil-natural-gas-emissions.pdf,public_pdf,3,true,true,Subpart OOOOa compliance guidance for oil and gas sector Source cadence: annual; source priority: 2; original doc type: PDF.,,,,,,en,United States,state-derived_data|regulatory|compliance|guidance|emissions|US_federal|small_business,
epa-methane-super-emitter-program,EPA Methane Super Emitter Program,tier_2,government_regulator,https://www.epa.gov/compliance/methane-super-emitter-program-owners-operators,public_html,2,true,true,Owner/operator notification and investigation requirements Source cadence: monthly; source priority: 1; original doc type: webpage.,,,,,,en,United States,state-derived_data|regulatory|methane|monitoring|super_emitters|US_federal|third_party_notifiers|CDX_reporting,
ferc-cultural-resources-guidelines,FERC Cultural Resources Guidelines,tier_2,government_regulator,https://www.ferc.gov/sites/default/files/2020-04/cultural-guidelines-final.pdf,public_pdf,5,true,true,Section 106 compliance for natural gas projects Source cadence: annual; source priority: 3; original doc type: PDF.,,,,,,en,United States,state-derived_data|regulatory|environmental|cultural|natural_gas|US_federal|NHPA|Section_106,
ferc-environmental-overview,FERC Environmental Overview,tier_2,government_regulator,https://www.ferc.gov/industries-data/natural-gas/environmental-overview,manual_review,3,true,false,Environmental safeguards and review process overview Returned 403 during audit; keep disabled for manual review. Source cadence: quarterly; source priority: 2; original doc type: webpage.,,,,,,en,United States,state-derived_data|regulatory|environmental|NEPA|natural_gas|US_federal|EIS|EA,Returned 403 during audit; keep disabled for manual review.
blm-oil-gas-program,BLM Oil Gas Program,tier_2,government_regulator,https://www.blm.gov/programs/energy-and-minerals/oil-and-gas,public_html,3,true,true,Bureau of Land Management federal onshore oversight Source cadence: quarterly; source priority: 2; original doc type: webpage.,,,,,,en,United States,state-derived_data|regulatory|onshore|leasing|US_federal|public_lands,
boem-offshore-program,BOEM Offshore Program,tier_2,government_regulator,https://www.boem.gov/,public_html,3,true,true,Bureau of Ocean Energy Management offshore leases Source cadence: quarterly; source priority: 2; original doc type: webpage.,,,,,,en,United States,state-derived_data|regulatory|offshore|leasing|US_federal|Gulf_of_Mexico|Alaska|Atlantic,
bsee-safety-enforcement,BSEE Safety Enforcement,tier_2,government_regulator,https://www.bsee.gov/,public_html,2,true,true,Bureau of Safety and Environmental Enforcement Source cadence: monthly; source priority: 1; original doc type: webpage.,,,,,,en,United States,state-derived_data|regulatory|offshore|safety|environmental|US_federal|enforcement|incidents,
gri-102-climate-change-2025,GRI 102 Climate Change 2025,tier_1,standard_setter,https://globalreporting.org/standards/,public_html,2,true,true,Updated climate disclosure topic standard Source cadence: quarterly; source priority: 1; original doc type: webpage.,,,,,,en,International,state-derived_data|ESG|climate|sustainability|international|GHG|adaptation|transition,
gri-103-energy-2025,GRI 103 Energy 2025,tier_1,standard_setter,https://globalreporting.org/media/5pznhays/item-05-gri-topic-standard-for-energy-2025.pdf,public_pdf,2,true,true,Energy consumption and intensity reporting standard Source cadence: annual; source priority: 1; original doc type: PDF.,,,,,,en,International,state-derived_data|ESG|energy|consumption|intensity|international|Scope_1|Scope_2|Scope_3,
gri-101-biodiversity-2024,GRI 101 Biodiversity 2024,tier_1,standard_setter,https://globalreporting.org/standards/,public_html,3,true,true,Biodiversity and ecosystem impact assessment Source cadence: annual; source priority: 2; original doc type: webpage.,,,,,,en,International,state-derived_data|ESG|biodiversity|ecosystem|sustainability|international|habitat|protected_areas,
gri-standards-download-page,GRI Standards Download Page,tier_1,standard_setter,https://globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language,public_html,3,true,true,Full set of GRI Universal Sector and Topic Standards Source cadence: quarterly; source priority: 2; original doc type: webpage.,,,,,,en,International,state-derived_data|ESG|sustainability|international|full_standards_set|modular_system,
sasb-oil-gas-exploration-production,SASB Oil Gas Exploration Production,tier_1,standard_setter,https://sasb.ifrs.org/standards/,public_html,2,true,true,Industry-specific financially material metrics Source cadence: quarterly; source priority: 1; original doc type: webpage.,,,,,,en,International,state-derived_data|ESG|financial_materiality|oil_gas|international|ISSB|IFRS_S1,
sasb-application-guidance,SASB Application Guidance,tier_1,standard_setter,https://sasb.ifrs.org/wp-content/uploads/2018/11/SASB-Standards-Application-Guidance-2018-10.pdf,public_pdf,3,true,true,How to apply SASB standards and conform to requirements Source cadence: annual; source priority: 2; original doc type: PDF.,,,,,,en,International,state-derived_data|ESG|guidance|compliance|international|reporting_boundaries|materiality,
shirshov-institute-oceanology,Shirshov Institute Oceanology,tier_4,academic,https://ocean.ru/,public_html,3,true,true,P.P. Shirshov Institute - methodology partner for Transparent World Source cadence: quarterly; source priority: 2; original doc type: webpage.,,,,,,en,Caspian Sea,observed-data|ecology|methodology|Caspian_Sea|oceanography|Russian_Academy_Sciences|research_institute,
mityagina-lavrova-satellite-survey-caspian,Mityagina Lavrova Satellite Survey Caspian,tier_4,academic,https://mdpi-res.com/d_attachment/remotesensing/remotesensing-14-00525/article_deploy/remotesensing-14-00525.pdf,public_pdf,2,true,true,2022 peer-reviewed: Satellite Survey of Offshore Oil Seep Sites Source cadence: annual; source priority: 1; original doc type: PDF.,,,,,,en,Caspian Sea,observed-data|ecology|satellite|methodology|Caspian_Sea|natural_oil_seeps|NOS|frequency|detectability,
see-the-sea-database-caspian,See The Sea Database Caspian,tier_4,academic,https://www.biotaxa.org/em/article/view/em.2019.25.8,public_html,3,true,true,Online database for Caspian Sea satellite observations Source cadence: annual; source priority: 2; original doc type: webpage.,,,,,,en,Caspian Sea,observed-data|ecology|database|Caspian_Sea|satellite_monitoring|IKI_RAS|Space_Research_Institute,
main-pattern-caspian-oil-pollution,Main Pattern Caspian Oil Pollution,tier_4,academic,https://www.biotaxa.org/em/article/view/em.2019.25.9,public_html,2,true,true,2019 study on main patterns of Caspian Sea surface oil pollution Source cadence: annual; source priority: 1; original doc type: webpage.,,,,,,en,Caspian Sea,observed-data|ecology|satellite|Caspian_Sea|oil_pollution|spatial_distribution|temporal_distribution|2019_survey,
national-academies-global-forest-watch,National Academies Global Forest Watch,tier_4,academic,https://www.nationalacademies.org/read/10240/chapter/8,public_html,5,true,true,2001 proceedings on Transparent World and international partnerships Source cadence: annual; source priority: 3; original doc type: webpage.,,,,,,en,,state-derived_data|methodology|NGO_partnership|Transparent_World|WRI|Global_Forest_Watch,
texas-railroad-commission,Texas Railroad Commission,tier_2,state_regulator,https://www.rrc.texas.gov/,public_html,3,true,true,Texas state-level oil and gas regulation and enforcement Source cadence: monthly; source priority: 2; original doc type: webpage.,,,,,,en,United States,state-derived_data|regulatory|oil_gas|US_state|Texas|enforcement|violations,
alaska-oil-gas-conservation-commission,Alaska Oil Gas Conservation Commission,tier_2,state_regulator,https://www.commerce.alaska.gov/web/aogcc/,public_html,3,true,true,Alaska state-level oil and gas oversight Source cadence: monthly; source priority: 2; original doc type: webpage.,,,,,,en,United States,state-derived_data|regulatory|oil_gas|US_state|Alaska|conservation|production,
louisiana-dnr-oil-and-gas,Louisiana DNR Oil and Gas,tier_2,state_regulator,https://www.dce.louisiana.gov/,public_html,3,true,true,Louisiana Department of Natural Resources oil and gas division Source cadence: monthly; source priority: 2; original doc type: webpage.,,,,,,en,United States,state-derived_data|regulatory|oil_gas|US_state|Louisiana|offshore|coastal,
ftc-exxon-pioneer-merger-review,FTC Exxon-Pioneer Merger Review,tier_2,government_regulator,https://www.ftc.gov/legal-library/browse/cases-proceedings/241-0004-exxon-mobil-corporation-matter,public_html,5,true,true,Federal Trade Commission merger review and enforcement Source cadence: quarterly; source priority: 3; original doc type: webpage.,,,,,,en,United States,state-derived_data|regulatory|merger|competition|US_federal|antitrust|Pioneer_acquisition,
exxonmobil-10-k-annual-report,ExxonMobil 10-K Annual Report,tier_2,government_regulator,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000034088&type=10-K,public_html,2,true,true,SEC EDGAR filing - ExxonMobil annual reports and climate disclosures Source cadence: annual; source priority: 1; original doc type: webpage.,,,,,,en,United States,state-derived_data|financial_disclosure|oil_gas|ExxonMobil|reserves|climate_risk|US_federal,
library-of-congress-oil-gas-regulatory-guide,Library of Congress Oil Gas Regulatory Guide,tier_2,government,https://guides.loc.gov/oil-and-gas-industry/laws/agencies,public_html,3,true,true,Comprehensive guide to US federal oil and gas regulatory agencies Source cadence: annual; source priority: 2; original doc type: webpage.,,,,,,en,United States,state-derived_data|regulatory|guidance|US_federal|multi_agency|comprehensive,
world-bank-macro-poverty-outlook-eca,World Bank Macro Poverty Outlook ECA,tier_1,multilateral,https://www.worldbank.org/en/publication/macro-poverty-outlook/mpo_eca,public_html,2,true,true,Stable World Bank MPO Europe and Central Asia page; replaces stale direct Azerbaijan PDF. Source cadence: semiannual; source priority: 1; original doc type: webpage.,,,,,,en,Azerbaijan,state-derived_data|macro|Azerbaijan|World_Bank|MPO|economic_context|public_data,
gri-11-oil-and-gas-sector-2021,GRI 11 Oil and Gas Sector 2021,tier_1,standard_setter,https://www.globalreporting.org/standards/standards-development/sector-standard-for-oil-and-gas-gri-11/,public_html,2,true,true,Official GRI sector-standard page; replaces stale third-party PDF mirror. Source cadence: annual; source priority: 1; original doc type: webpage.,,,,,,en,International,state-derived_data|ESG|sustainability|oil_gas|international|sector_standard|climate_transition,
copernicus-sentinel-1-data-space,Copernicus Sentinel-1 Data Space,tier_4,satellite_data,https://dataspace.copernicus.eu/data-collections/sentinel-data/sentinel-1,public_html,2,true,true,Current Copernicus Sentinel-1 access page; replaces stale legacy Copernicus data hub endpoint. Source cadence: daily; source priority: 1; original doc type: webpage.,,,,,,en,,observed-data|ecology|satellite|API|Sentinel-1|SAR|real-time|ESA|open_access|Copernicus_Data_Space,
